round,trial,lobster,final.choice,side,treatment,tank,days in captive use,second use,new moon,full moon
1,1,3,0,side.A,blank,1a,17,0,0,0
1,1,3,1,side.B,structure,1b,17,0,0,0
1,2,5,0,side.A,scent,2a,17,0,0,0
1,2,5,1,side.B,blank,2b,17,0,0,0
1,3,6,1,side.A,blank,3a,17,0,0,0
1,3,6,0,side.B,st/sc,3b,17,0,0,0
1,4,2,0,side.A,scent,4a,17,0,0,0
1,4,2,1,side.B,structure,4b,17,0,0,0
1,6,1,1,side.A,st/sc,6a,17,0,0,0
1,6,1,0,side.B,scent,6b,17,0,0,0
2,7,8,1,side.A,blank,1a,17,0,0,0
2,7,8,0,side.B,scent,1b,17,0,0,0
2,8,10,1,side.A,st/sc,2a,17,0,0,0
2,8,10,0,side.B,blank,2b,17,0,0,0
2,9,12,1,side.A,structure,3a,17,0,0,0
2,9,12,0,side.B,scent,3b,17,0,0,0
2,10,9,1,side.A,st/sc,4a,17,0,0,0
2,10,9,0,side.B,structure,4b,17,0,0,0
2,11,11,0,side.A,scent,5a,17,0,0,0
2,11,11,1,side.B,st/sc,5b,17,0,0,0
2,12,7,1,side.A,structure,6a,17,0,0,0
2,12,7,0,side.B,blank,6b,17,0,0,0
3,13,18,0,side.A,st/sc,1a,19,0,0,0
3,13,18,1,side.B,blank,1b,19,0,0,0
3,15,14,1,side.A,st/sc,3a,19,0,0,0
3,15,14,0,side.B,structure,3b,19,0,0,0
3,17,13,0,side.A,structure,5a,19,0,0,0
3,17,13,1,side.B,blank,5b,19,0,0,0
3,18,16,1,side.A,blank,6a,19,0,0,0
3,18,16,0,side.B,scent,6b,19,0,0,0
4,19,22,1,side.A,scent,1a,19,0,0,0
4,19,22,0,side.B,structure,1b,19,0,0,0
4,20,24,1,side.A,structure,2a,19,0,0,0
4,20,24,0,side.B,st/sc,2b,19,0,0,0
4,21,23,1,side.A,st/sc,3a,19,0,0,0
4,21,23,0,side.B,scent,3b,19,0,0,0
4,22,20,1,side.A,blank,4a,19,0,0,0
4,22,20,0,side.B,structure,4b,19,0,0,0
4,23,21,0,side.A,scent,5a,19,0,0,0
4,23,21,1,side.B,blank,5b,19,0,0,0
5,25,26,0,side.A,st/sc,1a,19,0,0,0
5,25,26,1,side.B,structure,1b,19,0,0,0
5,27,30,0,side.A,structure,3a,19,0,0,0
5,27,30,1,side.B,blank,3b,19,0,0,0
5,28,27,0,side.A,blank,4a,19,0,0,0
5,28,27,1,side.B,scent,4b,19,0,0,0
5,29,29,0,side.A,st/sc,5a,19,0,0,0
5,29,29,1,side.B,blank,5b,19,0,0,0
5,30,25,1,side.A,structure,6a,19,0,0,0
5,30,25,0,side.B,scent,6b,19,0,0,0
6,31,36,1,side.A,st/sc,1a,19,0,0,0
6,31,36,0,side.B,scent,1b,19,0,0,0
6,32,31,0,side.A,blank,2a,19,0,0,0
6,32,31,1,side.B,structure,2b,19,0,0,0
6,33,35,0,side.A,scent,3a,19,0,0,0
6,33,35,1,side.B,blank,3b,19,0,0,0
6,35,34,0,side.A,scent,5a,19,0,0,0
6,35,34,1,side.B,structure,5b,19,0,0,0
7,37,39,1,side.A,structure,1a,26,0,0,1
7,37,39,0,side.B,blank,1b,26,0,0,1
7,41,37,0,side.A,st/sc,5a,26,0,0,1
7,41,37,1,side.B,structure,5b,26,0,0,1
7,42,40,0,side.A,scent,6a,26,0,0,1
7,42,40,1,side.B,st/sc,6b,26,0,0,1
8,43,45,1,side.A,scent,1a,26,0,0,1
8,43,45,0,side.B,blank,1b,26,0,0,1
8,44,46,0,side.A,blank,2a,26,0,0,1
8,44,46,1,side.B,st/sc,2b,26,0,0,1
8,45,44,0,side.A,scent,3a,26,0,0,1
8,45,44,1,side.B,structure,3b,26,0,0,1
8,46,48,0,side.A,structure,4a,26,0,0,1
8,46,48,1,side.B,st/sc,4b,26,0,0,1
8,47,47,1,side.A,st/sc,5a,26,0,0,1
8,47,47,0,side.B,scent,5b,26,0,0,1
8,48,43,0,side.A,blank,6a,26,0,0,1
8,48,43,1,side.B,structure,6b,26,0,0,1
9,49,53,0,side.A,blank,1a,26,0,0,1
9,49,53,1,side.B,st/sc,1b,26,0,0,1
9,50,51,0,side.A,scent,2a,26,0,0,1
9,50,51,1,side.B,structure,2b,26,0,0,1
9,51,49,0,side.A,structure,3a,26,0,0,1
9,51,49,1,side.B,st/sc,3b,26,0,0,1
9,52,50,1,side.A,st/sc,4a,26,0,0,1
9,52,50,0,side.B,scent,4b,26,0,0,1
9,53,54,0,side.A,blank,5a,26,0,0,1
9,53,54,1,side.B,structure,5b,26,0,0,1
9,54,52,0,side.A,scent,6a,26,0,0,1
9,54,52,1,side.B,blank,6b,26,0,0,1
10,55,59,1,side.A,structure,1a,26,0,0,1
10,55,59,0,side.B,scent,1b,26,0,0,1
10,56,55,0,side.A,st/sc,2a,26,0,0,1
10,56,55,1,side.B,structure,2b,26,0,0,1
10,57,56,0,side.A,scent,3a,26,0,0,1
10,57,56,1,side.B,st/sc,3b,26,0,0,1
10,58,60,0,side.A,structure,4a,26,0,0,1
10,58,60,1,side.B,blank,4b,26,0,0,1
10,59,57,0,side.A,blank,5a,26,0,0,1
10,59,57,1,side.B,scent,5b,26,0,0,1
10,60,58,1,side.A,st/sc,6a,26,0,0,1
10,60,58,0,side.B,blank,6b,26,0,0,1
11,61,61,1,side.A,structure,1a,26,0,0,1
11,61,61,0,side.B,st/sc,1b,26,0,0,1
11,62,66,1,side.A,st/sc,2a,26,0,0,1
11,62,66,0,side.B,scent,2b,26,0,0,1
11,63,62,0,side.A,blank,3a,26,0,0,1
11,63,62,1,side.B,structure,3b,26,0,0,1
11,64,64,1,side.A,scent,4a,26,0,0,1
11,64,64,0,side.B,blank,4b,26,0,0,1
11,65,63,0,side.A,blank,5a,26,0,0,1
11,65,63,1,side.B,st/sc,5b,26,0,0,1
11,66,65,0,side.A,scent,6a,26,0,0,1
11,66,65,1,side.B,structure,6b,26,0,0,1
12,67,72,0,side.A,scent,1a,26,0,0,1
12,67,72,1,side.B,st/sc,1b,26,0,0,1
12,68,70,1,side.A,structure,2a,26,0,0,1
12,68,70,0,side.B,blank,2b,26,0,0,1
12,69,68,0,side.A,blank,3a,26,0,0,1
12,69,68,1,side.B,scent,3b,26,0,0,1
12,70,69,1,side.A,st/sc,4a,26,0,0,1
12,70,69,0,side.B,blank,4b,26,0,0,1
12,71,71,1,side.A,structure,5a,26,0,0,1
12,71,71,0,side.B,scent,5b,26,0,0,1
13,73,38,0,side.A,blank,1a,28,1,0,0
13,73,38,1,side.B,structure,1b,28,1,0,0
13,74,40,0,side.A,scent,2a,28,1,0,0
13,74,40,1,side.B,blank,2b,28,1,0,0
13,75,41,0,side.A,blank,3a,28,1,0,0
13,75,41,1,side.B,st/sc,3b,28,1,0,0
13,76,42,0,side.A,scent,4a,28,1,0,0
13,76,42,1,side.B,structure,4b,28,1,0,0
13,77,37,1,side.A,structure,5a,28,1,0,0
13,77,37,0,side.B,st/sc,5b,28,1,0,0
13,78,39,1,side.A,st/sc,6a,28,1,0,0
13,78,39,0,side.B,scent,6b,28,1,0,0
14,79,47,0,side.A,blank,1a,28,1,0,0
14,79,47,1,side.B,scent,1b,28,1,0,0
14,80,46,1,side.A,st/sc,2a,28,1,0,0
14,80,46,0,side.B,blank,2b,28,1,0,0
14,82,44,1,side.A,st/sc,4a,28,1,0,0
14,82,44,0,side.B,structure,4b,28,1,0,0
14,84,45,1,side.A,structure,6a,28,1,0,0
14,84,45,0,side.B,blank,6b,28,1,0,0
15,85,54,1,side.A,st/sc,1a,28,1,0,0
15,85,54,0,side.B,blank,1b,28,1,0,0
15,86,51,1,side.A,structure,2a,28,1,0,0
15,86,51,0,side.B,scent,2b,28,1,0,0
15,87,49,0,side.A,st/sc,3a,28,1,0,0
15,87,49,1,side.B,structure,3b,28,1,0,0
15,88,52,1,side.A,scent,4a,28,1,0,0
15,88,52,0,side.B,st/sc,4b,28,1,0,0
15,89,50,0,side.A,structure,5a,28,1,0,0
15,89,50,1,side.B,blank,5b,28,1,0,0
15,90,53,0,side.A,blank,6a,28,1,0,0
15,90,53,1,side.B,scent,6b,28,1,0,0
16,91,59,0,side.A,scent,1a,28,1,0,0
16,91,59,1,side.B,structure,1b,28,1,0,0
16,92,57,1,side.A,structure,2a,28,1,0,0
16,92,57,0,side.B,st/sc,2b,28,1,0,0
16,93,56,1,side.A,st/sc,3a,28,1,0,0
16,93,56,0,side.B,scent,3b,28,1,0,0
16,94,58,0,side.A,blank,4a,28,1,0,0
16,94,58,1,side.B,structure,4b,28,1,0,0
16,95,60,1,side.A,scent,5a,28,1,0,0
16,95,60,0,side.B,blank,5b,28,1,0,0
16,96,55,0,side.A,blank,6a,28,1,0,0
16,96,55,1,side.B,st/sc,6b,28,1,0,0
17,97,76,0,side.A,st/sc,1a,29,0,0,0
17,97,76,1,side.B,structure,1b,29,0,0,0
17,98,77,0,side.A,scent,2a,29,0,0,0
17,98,77,1,side.B,st/sc,2b,29,0,0,0
17,99,73,1,side.A,structure,3a,29,0,0,0
17,99,73,0,side.B,blank,3b,29,0,0,0
17,101,78,1,side.A,st/sc,5a,29,0,0,0
17,101,78,0,side.B,blank,5b,29,0,0,0
17,102,74,1,side.A,structure,6a,29,0,0,0
17,102,74,0,side.B,scent,6b,29,0,0,0
18,103,83,1,side.A,st/sc,1a,29,0,0,0
18,103,83,0,side.B,scent,1b,29,0,0,0
18,104,80,0,side.A,blank,2a,29,0,0,0
18,104,80,1,side.B,structure,2b,29,0,0,0
18,106,82,0,side.A,blank,4a,29,0,0,0
18,106,82,1,side.B,st/sc,4b,29,0,0,0
18,108,81,0,side.A,structure,6a,29,0,0,0
18,108,81,1,side.B,st/sc,6b,29,0,0,0
19,109,90,1,side.A,structure,1a,29,0,0,0
19,109,90,0,side.B,blank,1b,29,0,0,0
19,111,86,1,side.A,st/sc,3a,29,0,0,0
19,111,86,0,side.B,blank,3b,29,0,0,0
19,112,87,1,side.A,structure,4a,29,0,0,0
19,112,87,0,side.B,scent,4b,29,0,0,0
19,113,88,1,side.A,st/sc,5a,29,0,0,0
19,113,88,0,side.B,structure,5b,29,0,0,0
19,114,85,0,side.A,scent,6a,29,0,0,0
19,114,85,1,side.B,st/sc,6b,29,0,0,0
20,115,94,1,side.A,scent,1a,29,0,0,0
20,115,94,0,side.B,blank,1b,29,0,0,0
20,116,96,0,side.A,blank,2a,29,0,0,0
20,116,96,1,side.B,st/sc,2b,29,0,0,0
20,118,95,1,side.A,structure,4a,29,0,0,0
20,118,95,0,side.B,st/sc,4b,29,0,0,0
20,119,91,0,side.A,st/sc,5a,29,0,0,0
20,119,91,1,side.B,scent,5b,29,0,0,0
20,120,93,0,side.A,blank,6a,29,0,0,0
20,120,93,1,side.B,structure,6b,29,0,0,0
21,121,78,0,side.A,blank,1a,30,1,0,0
21,121,78,1,side.B,st/sc,1b,30,1,0,0
21,122,74,0,side.A,scent,2a,30,1,0,0
21,122,74,1,side.B,structure,2b,30,1,0,0
21,123,75,1,side.A,structure,3a,30,1,0,0
