round,trial,lobster,first.choice,side,treatment,tank,days in captive use
1,1,3,1,side.A,blank,1a,17
1,1,3,0,side.B,structure,1b,17
1,2,5,0,side.A,scent,2a,17
1,2,5,1,side.B,blank,2b,17
1,3,6,1,side.A,blank,3a,17
1,3,6,0,side.B,st/sc,3b,17
1,4,2,0,side.A,scent,4a,17
1,4,2,1,side.B,structure,4b,17
1,6,1,0,side.A,st/sc,6a,17
1,6,1,1,side.B,scent,6b,17
2,7,8,0,side.A,blank,1a,17
2,7,8,1,side.B,scent,1b,17
2,8,10,0,side.A,st/sc,2a,17
2,8,10,1,side.B,blank,2b,17
2,9,12,1,side.A,structure,3a,17
2,9,12,0,side.B,scent,3b,17
2,10,9,1,side.A,st/sc,4a,17
2,10,9,0,side.B,structure,4b,17
2,11,11,1,side.A,scent,5a,17
2,11,11,0,side.B,st/sc,5b,17
2,12,7,0,side.A,structure,6a,17
2,12,7,1,side.B,blank,6b,17
3,13,18,0,side.A,st/sc,1a,19
3,13,18,1,side.B,blank,1b,19
3,14,17,0,side.A,structure,2a,19
3,14,17,1,side.B,scent,2b,19
3,15,14,1,side.A,st/sc,3a,19
3,15,14,0,side.B,structure,3b,19
3,16,15,1,side.A,scent,4a,19
3,16,15,0,side.B,st/sc,4b,19
3,17,13,1,side.A,structure,5a,19
3,17,13,0,side.B,blank,5b,19
3,18,16,1,side.A,blank,6a,19
3,18,16,0,side.B,scent,6b,19
4,19,22,1,side.A,scent,1a,19
4,19,22,0,side.B,structure,1b,19
4,20,24,1,side.A,structure,2a,19
4,20,24,0,side.B,st/sc,2b,19
4,21,23,0,side.A,st/sc,3a,19
4,21,23,1,side.B,scent,3b,19
4,22,20,1,side.A,blank,4a,19
4,22,20,0,side.B,structure,4b,19
4,23,21,1,side.A,scent,5a,19
4,23,21,0,side.B,blank,5b,19
4,24,19,0,side.A,blank,6a,19
4,24,19,1,side.B,st/sc,6b,19
5,25,26,1,side.A,st/sc,1a,19
5,25,26,0,side.B,structure,1b,19
5,26,28,0,side.A,scent,2a,19
5,26,28,1,side.B,st/sc,2b,19
5,27,30,0,side.A,structure,3a,19
5,27,30,1,side.B,blank,3b,19
5,28,27,0,side.A,blank,4a,19
5,28,27,1,side.B,scent,4b,19
5,29,29,1,side.A,st/sc,5a,19
5,29,29,0,side.B,blank,5b,19
5,30,25,0,side.A,structure,6a,19
5,30,25,1,side.B,scent,6b,19
6,31,36,1,side.A,st/sc,1a,19
6,31,36,0,side.B,scent,1b,19
6,32,31,0,side.A,blank,2a,19
6,32,31,1,side.B,structure,2b,19
6,33,35,1,side.A,scent,3a,19
6,33,35,0,side.B,blank,3b,19
6,34,32,0,side.A,blank,4a,19
6,34,32,1,side.B,st/sc,4b,19
6,35,34,0,side.A,scent,5a,19
6,35,34,1,side.B,structure,5b,19
7,37,39,0,side.A,structure,1a,26
