Density,xaxis labels,log density +1,exp(U),exp(U) lower,exp(U) upper,Prob relative to zero mean,Prob relative to zero lower,Prob relative to zero upper,prob mean,low CI,up CI
0,0,0,1,1,1,0.5,0.5,0.5,0,0,0
1,37.63359928,0.301029996,1.125478974,1.055957616,1.199577392,0.529517811,0.51360865,0.545367213,0.029517811,0.01360865,0.045367213
2,75.26719855,0.477121255,1.206056994,1.090131263,1.334310328,0.546702555,0.521561149,0.571607944,0.046702555,0.021561149,0.071607944
3,112.9007978,0.602059991,1.26670292,1.115046486,1.438985918,0.558830586,0.527197153,0.589993533,0.058830586,0.027197153,0.089993533
4,150.5343971,0.698970004,1.315835862,1.134763719,1.525801245,0.568190468,0.531564083,0.604086029,0.068190468,0.031564083,0.104086029
5,188.1679964,0.77815125,1.357391788,1.15113241,1.600608503,0.575802374,0.53512857,0.61547461,0.075802374,0.03512857,0.11547461
6,225.8015957,0.84509804,1.393549061,1.165156014,1.66671141,0.58221036,0.538139518,0.625006292,0.08221036,0.038139518,0.125006292
7,263.4351949,0.903089987,1.425647503,1.177441829,1.726174974,0.587738944,0.540745481,0.633185687,0.087738944,0.040745481,0.133185687
8,301.0687942,0.954242509,1.454573473,1.188386171,1.780384051,0.592597243,0.54304226,0.640337457,0.092597243,0.04304226,0.140337457
9,338.7023935,1,1.480945596,1.198262391,1.830316678,0.59692788,0.545095252,0.646682646,0.09692788,0.045095252,0.146682646
10,376.3359928,1.041392685,1.505213747,1.207267207,1.876691569,0.600832463,0.546951091,0.652378444,0.100832463,0.046951091,0.152378444
11,413.9695921,1.079181246,1.527715917,1.215547035,1.920053773,0.604385923,0.548644202,0.657540553,0.104385923,0.048644202,0.157540553
12,451.6031913,1.113943352,1.54871285,1.223213875,1.960827353,0.60764509,0.55020072,0.662256565,0.10764509,0.05020072,0.162256565
13,489.2367906,1.146128036,1.568410167,1.230355366,1.999349325,0.610654088,0.551640956,0.666594354,0.110654088,0.051640956,0.166594354
14,526.8703899,1.176091259,1.586973045,1.237041407,2.03589236,0.613447847,0.552981006,0.670607557,0.113447847,0.052981006,0.170607557
15,564.5039892,1.204119983,1.604536289,1.243328667,2.070680473,0.616054495,0.554233842,0.674339285,0.116054495,0.054233842,0.174339285
16,602.1375884,1.230448921,1.621211431,1.249263743,2.103900153,0.618497009,0.555410075,0.677824688,0.118497009,0.055410075,0.177824688
17,639.7711877,1.255272505,1.63709186,1.254885428,2.135708456,0.6207944,0.556518488,0.681092801,0.1207944,0.056518488,0.181092801
18,677.404787,1.278753601,1.652256595,1.260226366,2.166239003,0.622962574,0.557566439,0.684167873,0.122962574,0.057566439,0.184167873
19,715.0383863,1.301029996,1.66677313,1.265314298,2.195606506,0.625014971,0.558560152,0.687070358,0.125014971,0.058560152,0.187070358
20,752.6719855,1.322219295,1.680699592,1.270172997,2.223910248,0.62696305,0.559504936,0.689817668,0.12696305,0.059504936,0.189817668
21,790.3055848,1.342422681,1.694086423,1.274823001,2.251236777,0.628816659,0.560405359,0.692424739,0.128816659,0.060405359,0.192424739
22,827.9391841,1.361727836,1.706977693,1.279282173,2.277662045,0.630584322,0.561265379,0.694904482,0.130584322,0.061265379,0.194904482
23,865.5727834,1.380211242,1.719412142,1.283566149,2.303253096,0.632273467,0.562088446,0.697268126,0.132273467,0.062088446,0.197268126
24,903.2063827,1.397940009,1.731424017,1.287688698,2.328069441,0.633890603,0.562877589,0.6995255,0.133890603,0.062877589,0.1995255
25,940.8399819,1.414973348,1.743043749,1.291662007,2.352164161,0.635441469,0.563635476,0.701685254,0.135441469,0.063635476,0.201685254
26,978.4735812,1.431363764,1.754298511,1.295496919,2.375584828,0.636931147,0.564364477,0.703755038,0.136931147,0.064364477,0.203755038
27,1016.10718,1.447158031,1.765212665,1.299203119,2.398374248,0.638364162,0.5650667,0.70574165,0.138364162,0.0650667,0.20574165
28,1053.74078,1.462397998,1.775808151,1.302789301,2.420571098,0.639744555,0.565744031,0.707651158,0.139744555,0.065744031,0.207651158
29,1091.374379,1.477121255,1.786104794,1.306263294,2.442210447,0.641075956,0.566398163,0.709489,0.141075956,0.066398163,0.209489
30,1129.007978,1.491361694,1.796120575,1.309632178,2.463324201,0.642361632,0.567030625,0.711260066,0.142361632,0.067030625,0.211260066
31,1166.641578,1.505149978,1.805871856,1.312902374,2.483941481,0.643604537,0.567642798,0.712968772,0.143604537,0.067642798,0.212968772
32,1204.275177,1.51851394,1.815373567,1.316079725,2.504088943,0.644807349,0.568235934,0.714619116,0.144807349,0.068235934,0.214619116
