Density,xaxis labels,log density +1,exp(U),exp(U) lower,exp(U) upper,Prob relative to zero mean,Prob relative to zero lower,Prob relative to zero upper,prob mean,low CI,up CI
0,0,0,1,1,1,0.5,0.5,0.5,0,0,0
1,37.63359928,0.301029996,1.134168764,1.066513633,1.20611565,0.531433494,0.5160932,0.546714607,0.031433494,0.0160932,0.046714607
2,75.26719855,0.477121255,1.220849349,1.107454044,1.345855514,0.549721821,0.525493805,0.573716287,0.049721821,0.025493805,0.073716287
3,112.9007978,0.602059991,1.286338785,1.13745133,1.454714962,0.5626195,0.53215309,0.592620726,0.0626195,0.03215309,0.092620726
4,150.5343971,0.698970004,1.339546045,1.16127746,1.545180776,0.572566652,0.537310679,0.6071006,0.072566652,0.037310679,0.1071006
5,188.1679964,0.77815125,1.384649197,1.181114837,1.623257399,0.580651107,0.541518868,0.618794557,0.080651107,0.041518868,0.118794557
6,225.8015957,0.84509804,1.423966133,1.198151244,1.692340226,0.587452982,0.54507225,0.628575917,0.087452982,0.04507225,0.128575917
7,263.4351949,0.903089987,1.458925269,1.213107351,1.754554483,0.593318263,0.548146637,0.636964886,0.093318263,0.048146637,0.136964886
8,301.0687942,0.954242509,1.490473132,1.22645446,1.811327065,0.59846987,0.550855399,0.644296101,0.09846987,0.050855399,0.144296101
9,338.7023935,1,1.519271282,1.238518243,1.863666716,0.603059818,0.553275921,0.650797352,0.103059818,0.053275921,0.150797352
10,376.3359928,1.041392685,1.545801422,1.249533454,1.912315376,0.607196386,0.555463379,0.656630594,0.107196386,0.055463379,0.156630594
11,413.9695921,1.079181246,1.570425868,1.259675076,1.957836154,0.610959409,0.557458499,0.661915012,0.110959409,0.057458499,0.161915012
12,451.6031913,1.113943352,1.593424413,1.269077136,2.000667484,0.614409429,0.559292197,0.666740815,0.114409429,0.059292197,0.166740815
13,489.2367906,1.146128036,1.615017908,1.277844637,2.041158032,0.617593441,0.560988496,0.67117789,0.117593441,0.060988496,0.17117789
14,526.8703899,1.176091259,1.635383917,1.28606142,2.079590067,0.620548644,0.562566434,0.675281457,0.120548644,0.062566434,0.175281457
15,564.5039892,1.204119983,1.654667469,1.293795529,2.116195621,0.623304986,0.564041351,0.679095884,0.123304986,0.064041351,0.179095884
16,602.1375884,1.230448921,1.672988648,1.301102969,2.151167959,0.625886926,0.565425792,0.682657347,0.125886926,0.065425792,0.182657347
17,639.7711877,1.255272505,1.69044807,1.308030403,2.184669921,0.628314699,0.566730144,0.685995716,0.128314699,0.066730144,0.185995716
18,677.404787,1.278753601,1.707130928,1.314617136,2.216840117,0.630605232,0.567963105,0.689135934,0.130605232,0.067963105,0.189135934
19,715.0383863,1.301029996,1.723110031,1.320896592,2.247797594,0.632772827,0.569132031,0.692099039,0.132772827,0.069132031,0.192099039
20,752.6719855,1.322219295,1.738448126,1.326897441,2.277645425,0.634829672,0.570243199,0.694902935,0.134829672,0.070243199,0.194902935
21,790.3055848,1.342422681,1.753199688,1.332644465,2.306473503,0.636786244,0.571302007,0.697562978,0.136786244,0.071302007,0.197562978
22,827.9391841,1.361727836,1.76741234,1.338159234,2.334360741,0.638651608,0.572313132,0.700092438,0.138651608,0.072313132,0.200092438
23,865.5727834,1.380211242,1.781127965,1.343460643,2.361376826,0.640433661,0.573280651,0.702502858,0.140433661,0.073280651,0.202502858
24,903.2063827,1.397940009,1.794383606,1.348565339,2.38758363,0.642139326,0.574208142,0.704804336,0.142139326,0.074208142,0.204804336
25,940.8399819,1.414973348,1.807212197,1.353488068,2.413036364,0.643774703,0.575098759,0.707005759,0.143774703,0.075098759,0.207005759
26,978.4735812,1.431363764,1.819643153,1.358241953,2.437784519,0.645345192,0.575955301,0.709114985,0.145345192,0.075955301,0.209114985
27,1016.10718,1.447158031,1.831702864,1.362838727,2.461872647,0.646855603,0.576780256,0.711138999,0.146855603,0.076780256,0.211138999
28,1053.74078,1.462397998,1.843415101,1.367288924,2.485341011,0.648310231,0.577575855,0.713084029,0.148310231,0.077575855,0.213084029
29,1091.374379,1.477121255,1.854801355,1.371602038,2.508226127,0.649712931,0.578344097,0.71495566,0.149712931,0.078344097,0.21495566
30,1129.007978,1.491361694,1.865881124,1.375786656,2.530561229,0.651067174,0.579086785,0.716758913,0.151067174,0.079086785,0.216758913
31,1166.641578,1.505149978,1.876672158,1.379850571,2.552376658,0.652376098,0.579805551,0.718498319,0.152376098,0.079805551,0.218498319
32,1204.275177,1.51851394,1.88719066,1.383800878,2.573700193,0.653642548,0.580501874,0.720177982,0.153642548,0.080501874,0.220177982
