round,trial,ymaze,lobster,density-A,density-B,date,start-time,end-time,first-choice,final-choice,residency-A,residency-B,residency-Other,Total,Useable data
1,1,1,6A,32,0,22/02/2022,13:13,13:43,0,0,0,1775,25,1800,1
1,2,2,5A,1,5,22/02/2022,13:15,13:45,1,5,227,1561,12,1800,1
1,3,3,3A,11,2,22/02/2022,13:17,13:47,11,11,1288,366,146,1800,1
1,4,4,4A,2,5,22/02/2022,13:18,13:48,5,NA,0,606,1194,1800,1
1,5,5,1A,0,1,22/02/2022,13:20,13:50,1,0,1583,94,123,1800,1
1,6,6,2A,2,1,22/02/2022,13:22,13:52,2,,913,14,873,1800,1
2,7,1,10A,11,5,22/02/2022,14:50,15:20,11,11,1416,133,251,1800,1
2,8,2,7A,2,0,22/02/2022,14:52,15:22,2,2,1479,0,321,1800,1
2,9,3,12A,32,5,22/02/2022,14:55,15:25,32,32,597,1031,172,1800,1
2,10,4,11A,5,0,22/02/2022,14:56,15:26,5,5,1007,362,431,1800,1
2,11,5,8A,0,11,22/02/2022,14:57,15:27,11,11,618,874,308,1800,1
2,12,6,9A,0,1,22/02/2022,14:59,15:29,1,1,0,1746,54,1800,1
3,13,1,16A,2,0,22/02/2022,16:25,16:55,2,NA,490,781,529,1800,1
3,14,2,15A,5,2,22/02/2022,16:26,16:56,5,NA,960,29,811,1800,1
3,15,3,13A,11,1,22/02/2022,16:28,16:58,11,1,308,1358,134,1800,1
3,16,4,14A,11,32,22/02/2022,16:30,17:00,32,11,1068,628,104,1800,1
3,17,5,17A,1,2,22/02/2022,16:31,17:01,2,1,1103,233,464,1800,1
3,18,6,18A,5,0,22/02/2022,16:33,17:03,5,5,978,347,475,1800,1
4,19,1,24A,0,11,23/02/2022,8:45,9:15,11,NA,343,722,735,1800,1
4,20,2,23A,0,5,23/02/2022,8:47,9:17,5,5,0,1798,2,1800,1
4,21,3,22A,1,5,23/02/2022,8:48,9:18,5,5,0,1680,120,1800,1
4,22,4,21A,1,11,23/02/2022,8:50,9:20,11,1,1040,518,242,1800,1
4,23,5,20A,2,0,23/02/2022,8:52,9:52,0,NA,182,246,1372,1800,1
4,24,6,19A,32,2,23/02/2022,8:54,9:24,2,2,0,1572,228,1800,1
5,25,1,28A,2,1,23/02/2022,10:34,11:04,2,2,1795,0,5,1800,1
5,26,2,27A,1,32,23/02/2022,10:36,11:06,1,1,1788,0,12,1800,1
5,27,3,29A,0,1,23/02/2022,10:40,11:10,NA,NA,0,0,1800,1800,0
5,28,4,30A,11,2,23/02/2022,10:37,11:07,11,11,1775,0,25,1800,1
5,29,5,26A,1,11,23/02/2022,10:42,11:12,11,11,0,1798,2,1800,1
5,30,6,25A,5,2,23/02/2022,10:44,11:14,2,2,79,1504,217,1800,1
6,31,1,31A,5,11,23/02/2022,12:41,13:11,11,11,268,1527,5,1800,1
6,32,2,32A,1,5,23/02/2022,12:43,13:13,1,1,1676,0,124,1800,1
6,33,3,35A,11,0,23/02/2022,12:44,13:14,11,11,1215,78,507,1800,1
6,34,4,36A,2,1,23/02/2022,12:45,13:15,NA,NA,0,0,1800,1800,0
6,35,5,34A,0,32,23/02/2022,12:46,13:16,32,32,0,1597,203,1800,1
6,36,6,33A,1,0,23/02/2022,12:47,13:17,0,0,NA,NA,NA,0,0
7,37,1,5B,32,2,23/02/2022,14:24,14:54,2,2,0,1787,13,1800,1
7,38,2,4B,11,0,23/02/2022,14:26,14:56,11,11,1181,157,462,1800,1
7,39,3,1B,11,32,23/02/2022,14:27,14:57,11,11,1463,0,337,1800,1
7,40,4,3B,11,5,23/02/2022,14:28,14:58,11,NA,136,657,1007,1800,1
7,41,5,6B,2,11,23/02/2022,14:30,15:00,2,11,811,592,397,1800,1
7,42,6,2B,2,0,23/02/2022,14:32,15:02,0,2,577,139,1084,1800,1
8,43,1,9B,5,32,24/02/2022,9:14,9:44,32,32,0,1760,40,1800,1
8,44,2,7B,32,0,24/02/2022,9:15,9:45,NA,NA,0,0,1800,1800,0
