round,trial,ymaze,lobster,side-A,side-B,date,start-time,end-time,first-choice,final-choice,residency-A,residency-B,residency-Other,Total,Useable data
1,1,1,3A,blank,structure,10/03/2022,15:19,15:34,blank,structure,238,485,177,900,1
1,2,2,5A,scent,blank,10/03/2022,15:20,15:35,blank,blank,72,520,308,900,1
1,3,3,6A,blank,st/sc,10/03/2022,15:22,15:37,blank,blank,495,3,402,900,1
1,4,4,2A,scent,structure,10/03/2022,15:24,15:39,structure,structure,0,885,15,900,1
1,5,5,4A,structure,st/sc,10/03/2022,15:25,15:40,NA,NA,NA,NA,NA,#VALUE!,0
1,6,6,1A,st/sc,scent,10/03/2022,15:26,15:41,scent,st/sc,335,548,17,900,1
2,7,1,8A,blank,scent,10/03/2022,16:50,17:05,scent,blank,388,153,359,900,1
2,8,2,10A,st/sc,blank,10/03/2022,16:52,17:07,blank,st/sc,261,334,305,900,1
2,9,3,12A,structure,scent,10/03/2022,16:53,17:08,structure,structure,782,0,118,900,1
2,10,4,9A,st/sc,structure,10/03/2022,16:55,17:10,st/sc,st/sc,529,0,371,900,1
2,11,5,11A,scent,st/sc,10/03/2022,16:57,17:12,scent,st/sc,224,659,17,900,1
2,12,6,7A,structure,blank,10/03/2022,16:59,17:14,blank,structure,332,184,384,900,1
3,13,1,18A,st/sc,blank,12/03/2022,11:03,11:18,blank,blank,0,701,199,900,1
3,14,2,17A,structure,scent,12/03/2022,11:04,11:19,scent,NA,32,339,529,900,1
3,15,3,14A,st/sc,structure,12/03/2022,11:05,11:20,st/sc,st/sc,735,0,165,900,1
3,16,4,15A,scent,st/sc,12/03/2022,11:08,11:23,scent,NA,189,0,711,900,1
3,17,5,13A,structure,blank,12/03/2022,11:10,11:25,structure,blank,49,650,201,900,1
3,18,6,16A,blank,scent,12/03/2022,11:11,11:26,blank,blank,501,194,205,900,1
4,19,1,22A,scent,structure,12/03/2022,12:33,12:48,scent,scent,,,,0,1
4,20,2,24A,structure,st/sc,12/03/2022,12:34,12:49,structure,structure,,,,0,1
4,21,3,23A,st/sc,scent,12/03/2022,12:36,12:51,scent,st/sc,,,,0,1
4,22,4,20A,blank,structure,12/03/2022,12:38,12:53,blank,blank,,,,0,1
4,23,5,21A,scent,blank,12/03/2022,12:40,12:55,scent,blank,,,,0,1
4,24,6,19A,blank,st/sc,12/03/2022,12:41,12:56,st/sc,NA,,,,0,1
5,25,1,26A,st/sc,structure,12/03/2022,14:01,14:16,st/sc,structure,,,,0,1
5,26,2,28A,scent,st/sc,12/03/2022,14:02,14:17,st/sc,NA,,,,0,1
5,27,3,30A,structure,blank,12/03/2022,14:04,14:19,blank,blank,,,,0,1
5,28,4,27A,blank,scent,12/03/2022,14:06,14:21,scent,scent,,,,0,1
5,29,5,29A,st/sc,blank,12/03/2022,14:08,14:23,st/sc,blank,,,,0,1
5,30,6,25A,structure,scent,12/03/2022,14:10,14:25,scent,structure,,,,0,1
6,31,1,36A,st/sc,scent,12/03/2022,15:16,15:31,st/sc,st/sc,,,,0,1
6,32,2,31A,blank,structure,12/03/2022,15:17,15:32,structure,structure,,,,0,1
6,33,3,35A,scent,blank,12/03/2022,15:19,15:34,scent,blank,,,,0,1
6,34,4,32A,blank,st/sc,12/03/2022,15:20,15:35,st/sc,NA,,,,0,1
6,35,5,34A,scent,structure,12/03/2022,15:21,15:36,structure,structure,,,,0,1
